Tahun,Bulan,Tanggal,Cabai Merah Keriting,Cabai Rawit Merah
2023,1,2,39670,63740
2023,1,3,41850,68200
2023,1,4,42280,68450
2023,1,5,43260,66590
2023,1,6,42570,66870
2023,1,7,41840,64790
2023,1,8,43290,67400
2023,1,9,38400,68080
2023,1,10,43920,67260
2023,1,11,44190,66370
2023,1,12,42760,65060
2023,1,13,43380,64400
2023,1,14,43270,63640
2023,1,15,44010,62380
2023,1,16,41780,58070
2023,1,17,41980,57500
2023,1,18,40940,57110
2023,1,19,40510,57740
2023,1,20,39920,57120
2023,1,21,40200,56170
2023,1,22,41070,55390
2023,1,23,40260,57840
2023,1,24,42340,58790
2023,1,25,42280,58440
2023,1,26,42230,57520
2023,1,27,41860,57390
2023,1,28,41590,57330
2023,1,29,41780,57720
2023,1,30,42180,57850
2023,1,31,41850,57250
2023,2,1,42140,56860
2023,2,2,39390,57740
2023,2,3,40960,56960
2023,2,4,41120,55270
2023,2,5,40820,58090
2023,2,6,41190,59320
2023,2,7,40840,58840
2023,2,8,41480,58910
2023,2,9,42890,59120
2023,2,10,42590,58950
2023,2,11,41990,58790
2023,2,12,42010,59840
2023,2,13,42090,60800
2023,2,14,41850,60040
2023,2,15,41420,63110
2023,2,16,44160,63290
2023,2,17,45830,63830
2023,2,18,46000,63870
2023,2,19,46450,62940
2023,2,20,45890,67780
2023,2,21,47810,69300
2023,2,22,47760,68360
2023,2,23,47310,68170
2023,2,24,46590,68630
2023,2,25,46080,68970
2023,2,26,46070,68970
2023,2,27,44370,66290
2023,2,28,44350,66830
2023,3,1,42670,67290
2023,3,2,41460,66400
2023,3,3,41530,66250
2023,3,4,41310,65390
2023,3,5,42120,66970
2023,3,6,41420,68600
2023,3,7,40790,69490
2023,3,8,40960,70430
2023,3,9,40430,68850
2023,3,10,40460,68860
2023,3,11,40390,70060
2023,3,12,40730,70190
2023,3,13,40800,71080
2023,3,14,41360,70520
2023,3,15,40790,71840
2023,3,16,40450,71170
2023,3,17,40620,73600
2023,3,18,40650,73620
2023,3,19,41540,73640
2023,3,20,41800,76860
2023,3,21,42360,79480
2023,3,22,42500,79620
2023,3,23,42450,78860
2023,3,24,42680,77400
2023,3,25,43020,77860
2023,3,26,43220,78040
2023,3,27,42600,74550
2023,3,28,40900,67140
2023,3,29,39020,62880
2023,3,30,37650,57640
2023,3,31,37420,57350
2023,4,1,37910,57870
2023,4,2,38020,58150
2023,4,3,37040,54840
2023,4,4,36220,53330
2023,4,5,35430,50960
2023,4,6,34710,49820
2023,4,7,34970,49300
2023,4,8,36020,49750
2023,4,9,35290,47200
2023,4,10,35300,44400
2023,4,11,34760,42570
2023,4,12,34290,42580
2023,4,13,34590,42270
2023,4,14,34920,41510
2023,4,15,34530,41250
2023,4,16,35880,41350
2023,4,17,39340,42630
2023,4,18,44310,44980
2023,4,19,46370,45490
2023,4,20,47860,43390
2023,4,21,50460,47760
2023,4,22,51120,46820
2023,4,23,50300,46000
2023,4,24,49600,47970
2023,4,25,46800,44900
2023,4,26,42800,43590
2023,4,27,38720,41620
2023,4,28,37010,38810
2023,4,29,36100,38020
2023,4,30,36740,38240
2023,5,1,35820,36610
2023,5,2,36220,37340
2023,5,3,34660,35400
2023,5,4,34990,35560
2023,5,5,34910,35990
2023,5,6,33080,34870
2023,5,7,32490,34050
2023,5,8,34120,35360
2023,5,9,34010,34960
2023,5,10,32980,35240
2023,5,11,32110,35520
2023,5,12,32670,36360
2023,5,13,32740,36440
2023,5,14,32730,36270
2023,5,15,33020,35080
2023,5,16,34040,36320
2023,5,17,33550,36340
2023,5,18,33970,36530
2023,5,19,33140,36640
2023,5,20,32580,37720
2023,5,21,33070,37730
2023,5,22,33770,40890
2023,5,23,34180,43190
2023,5,24,34300,42990
2023,5,25,33460,42930
2023,5,26,33640,42900
2023,5,27,33720,43270
2023,5,28,33540,42630
2023,5,29,32990,43060
2023,5,30,32550,42400
2023,5,31,32510,43870
2023,6,1,32580,41970
2023,6,2,32070,42450
2023,6,3,32700,43550
2023,6,4,33310,43360
2023,6,5,31680,44210
2023,6,6,32470,45060
2023,6,7,32810,45030
2023,6,8,33330,44520
2023,6,9,32800,44360
2023,6,10,32690,44420
2023,6,11,32550,44320
2023,6,12,32470,44200
2023,6,13,32540,43090
2023,6,14,32580,43610
2023,6,15,30350,42330
2023,6,16,31580,42530
2023,6,17,31270,42220
2023,6,18,31500,42700
2023,6,19,31260,40800
2023,6,20,31190,40650
2023,6,21,31700,40470
2023,6,22,31360,39260
2023,6,23,31940,39280
2023,6,24,32840,39560
2023,6,25,33690,40160
2023,6,26,35500,39650
2023,6,27,38300,40570
2023,6,28,40390,40390
2023,6,29,41480,40450
2023,6,30,41160,41010
2023,7,1,42090,43170
2023,7,2,41810,40650
2023,7,3,40980,39800
2023,7,4,40040,38690
2023,7,5,39800,38640
2023,7,6,38800,37550
2023,7,7,38160,36830
2023,7,8,37910,36180
2023,7,9,37860,37350
2023,7,10,37750,37090
2023,7,11,36670,36150
2023,7,12,35920,35130
